Date of Week End,Candidate,Platform,Spend
4/6/2019,Kirsten Gillibrand,Facebook,25311
4/6/2019,Beto O'Rourke,Google,23900
4/6/2019,Tim Ryan,Google,19600
4/6/2019,Elizabeth Warren,Google,16500
4/6/2019,Kirsten Gillibrand,Google,14400
4/6/2019,Kamala Harris,Google,13800
4/6/2019,Jay Inslee,Google,12900
4/6/2019,Cory Booker,Google,11200
4/6/2019,Tulsi Gabbard,Google,10900
4/6/2019,Pete Buttigieg,Facebook,10668
4/6/2019,Amy Klobuchar,Google,7900
4/6/2019,John Hickenlooper,Google,4600
4/6/2019,Tim Ryan,Facebook,4174
4/6/2019,Tulsi Gabbard,Facebook,3919
4/6/2019,John Delaney,Facebook,3721
4/6/2019,Andrew Yang,Google,3000
4/6/2019,Bernie Sanders,Google,3000
4/6/2019,John Hickenlooper,Facebook,2591
4/6/2019,Wayne Messam,Google,2100
4/6/2019,Julián Castro,Google,1700
4/6/2019,Wayne Messam,Facebook,848
4/13/2019,Donald Trump,Facebook,207167
4/13/2019,Andrew Yang,Facebook,154840
4/13/2019,Julián Castro,Facebook,137162
4/13/2019,Elizabeth Warren,Facebook,67275
4/13/2019,Marianne Williamson,Facebook,64634
4/13/2019,Amy Klobuchar,Facebook,48379
4/13/2019,Bernie Sanders,Facebook,45653
4/13/2019,Jay Inslee,Facebook,40637
4/13/2019,Pete Buttigieg,Google,32500
4/13/2019,Donald Trump,Google,30600
4/13/2019,Jay Inslee,Google,21800
4/13/2019,Tim Ryan,Google,18100
4/13/2019,Andrew Yang,Google,16800
4/13/2019,Beto O'Rourke,Google,16800
4/13/2019,Beto O'Rourke,Facebook,15629
4/13/2019,Elizabeth Warren,Google,13700
4/13/2019,Kamala Harris,Facebook,12778
4/13/2019,Kamala Harris,Google,11900
4/13/2019,Kirsten Gillibrand,Google,10700
4/13/2019,Pete Buttigieg,Facebook,9796
4/13/2019,Tulsi Gabbard,Google,9700
4/13/2019,Kirsten Gillibrand,Facebook,9507
4/13/2019,Cory Booker,Facebook,8890
4/13/2019,Tim Ryan,Facebook,8816
4/13/2019,Amy Klobuchar,Google,8700
4/13/2019,Cory Booker,Google,7000
4/13/2019,Eric Swalwell,Google,5300
4/13/2019,John Delaney,Facebook,3145
4/13/2019,John Hickenlooper,Google,2800
4/13/2019,Wayne Messam,Google,2400
4/13/2019,John Delaney,Google,2000
4/13/2019,Eric Swalwell,Facebook,1565
4/13/2019,Bernie Sanders,Google,1500
4/13/2019,Julián Castro,Google,700
4/13/2019,Marianne Williamson,Google,500
4/13/2019,John Hickenlooper,Facebook,195
4/20/2019,Pete Buttigieg,Google,197900
4/20/2019,Donald Trump,Facebook,167964
4/20/2019,Andrew Yang,Facebook,133892
4/20/2019,Elizabeth Warren,Facebook,78810
4/20/2019,Julián Castro,Facebook,65814
4/20/2019,Donald Trump,Google,60500
4/20/2019,Kamala Harris,Facebook,58562
4/20/2019,Marianne Williamson,Facebook,55180
4/20/2019,Pete Buttigieg,Facebook,54778
4/20/2019,Beto O'Rourke,Facebook,44562
4/20/2019,John Delaney,Google,31500
4/20/2019,Amy Klobuchar,Facebook,28759
4/20/2019,Jay Inslee,Facebook,26125
4/20/2019,Kamala Harris,Google,24900
4/20/2019,Tulsi Gabbard,Google,19000
4/20/2019,Jay Inslee,Google,17900
4/20/2019,Beto O'Rourke,Google,17100
4/20/2019,Bernie Sanders,Facebook,16859
4/20/2019,Elizabeth Warren,Google,15800
4/20/2019,Tulsi Gabbard,Facebook,12504
4/20/2019,Cory Booker,Facebook,12135
4/20/2019,Andrew Yang,Google,10100
4/20/2019,Kirsten Gillibrand,Facebook,9153
4/20/2019,Eric Swalwell,Google,8700
4/20/2019,Amy Klobuchar,Google,7700
4/20/2019,Tim Ryan,Facebook,7447
4/20/2019,John Delaney,Facebook,7055
4/20/2019,Kirsten Gillibrand,Google,5500
4/20/2019,Tim Ryan,Google,3600
4/20/2019,John Hickenlooper,Google,3200
4/20/2019,Cory Booker,Google,2900
4/20/2019,Mike Gravel,Facebook,2541
4/20/2019,Bernie Sanders,Google,1500
4/20/2019,Marianne Williamson,Google,1500
4/20/2019,Julián Castro,Google,1400
